episode,duration_s,velocity_rmse,retention,displacement_m,survived
0,10.0,0.09924081294783386,0.8481012658227848,-1.5710002740810662,True
1,10.0,0.09808868500720785,0.8407728181212525,-1.61032415784316,True
2,10.0,0.10826069357135346,0.8680879413724184,-1.5232794664699598,True
3,9.06,0.24457062715786668,0.8345588235294118,-1.6484617835022872,False
4,10.0,0.0961704953874701,0.8534310459693538,-1.564511147034142,True
5,10.0,0.11811757383296126,0.8407728181212525,-1.5614308525197496,True
6,4.24,0.3416308819205635,0.8116169544740973,-0.9263980504903416,False
7,10.0,0.10815396428657582,0.8634243837441705,-1.5407739224411445,True
8,6.66,0.28112549417742316,0.785,-1.3345296182779949,False
9,10.0,0.09623093562857483,0.8654230512991339,-1.5628325383319754,True
10,10.0,0.09222148485043936,0.8674217188540972,-1.5465583093452036,True
11,4.24,0.34967348407402443,0.7739403453689168,-0.9562675596207845,False
12,10.0,0.10112569015677722,0.8494337108594271,-1.5514393606345684,True
13,10.0,0.09764934354487662,0.8481012658227848,-1.5840278751210617,True
14,10.0,0.0920342383581907,0.8627581612258495,-1.5282949749123942,True
15,10.0,0.09352858164533023,0.8654230512991339,-1.5345576895754813,True
16,10.0,0.09730371951538196,0.8281145902731513,-1.5276938496801873,True
17,10.0,0.09654633236665427,0.8687541638907396,-1.5581331737806041,True
18,10.0,0.09738665366341429,0.8314457028647568,-1.570919615978905,True
19,1.84,0.5289659878661087,0.7328519855595668,-0.5873678921162359,False
20,10.0,0.09678272750970711,0.8640906062624917,-1.5507784585553455,True
21,10.0,0.09372259529932271,0.8647568287808128,-1.5162721618664097,True
22,10.0,0.09239926198950185,0.8834110592938041,-1.5349419162035396,True
23,10.0,0.09460550082644144,0.8734177215189873,-1.5406366160426042,True
24,7.86,0.26663348515750623,0.7949152542372881,-1.4939884641928896,False
25,3.04,0.4053059548268921,0.7921225382932167,-0.7251894955631215,False
26,10.0,0.09414771070391462,0.854763491005996,-1.5791324533338935,True
27,10.0,0.09337087071768205,0.8780812791472352,-1.5640640337342162,True
28,10.0,0.10458449282693127,0.8634243837441705,-1.5301704909723763,True
29,10.0,0.09498977550858624,0.8534310459693538,-1.5368973380098343,True
30,10.0,0.09638512538385006,0.8314457028647568,-1.5646058228618593,True
31,10.0,0.0936135793542871,0.871419053964024,-1.5295947403614805,True
32,10.0,0.10391557583496067,0.8454363757495004,-1.5027688465488964,True
33,10.0,0.09299288746060823,0.8774150566289141,-1.5547403990833197,True
34,1.82,0.4928818607728195,0.718978102189781,-0.550481961419689,False
35,0.92,2.713681135763321,0.14388489208633093,-1.8093034914599373,False
36,10.0,0.0966120792428923,0.8707528314457028,-1.5563344823050667,True
37,10.0,0.10838634218691744,0.8107928047968022,-1.5409843591460286,True
38,10.0,0.09571141516985472,0.8587608261159227,-1.538788836884843,True
39,10.0,0.09442371373820704,0.8520986009327115,-1.5197835029589544,True
40,10.0,0.09232132811891397,0.8634243837441705,-1.5591719095641883,True
41,10.0,0.0941444097560616,0.8800799467021986,-1.5394701233766508,True
42,10.0,0.09581236907788196,0.8667554963357762,-1.5881303363564885,True
43,5.46,0.30766558324413545,0.7987804878048781,-1.140607076767857,False
44,4.24,0.35756641699123937,0.7535321821036107,-0.9959767461111778,False
45,10.0,0.09624100277255672,0.8654230512991339,-1.5792923069824203,True
46,10.0,0.0951759622263807,0.8580946035976016,-1.5301514544445376,True
47,10.0,0.10364977065540519,0.8221185876082612,-1.6043663333857774,True
48,10.0,0.09688229164423778,0.8667554963357762,-1.5494192923770838,True
49,10.0,0.09770157302519836,0.8634243837441705,-1.5897946088460768,True
50,10.0,0.09280472891231281,0.866089273817455,-1.57064879984456,True
51,1.84,0.51641616255051,0.6931407942238267,-0.5833544236902394,False
52,10.0,0.09454077719758867,0.8774150566289141,-1.5290289979737017,True
53,10.0,0.10104703352993244,0.8341105929380414,-1.5558557200823782,True
54,10.0,0.10361552236937496,0.8387741505662891,-1.596130279099674,True
55,10.0,0.10632014293075653,0.844103930712858,-1.5553961071288491,True
56,10.0,0.09016074878265586,0.8867421718854097,-1.5627857882417433,True
57,10.0,0.09554639612563724,0.8620919387075283,-1.518972580545436,True
58,10.0,0.0996071891297193,0.8347768154563624,-1.6046661575851295,True
59,10.0,0.09249269127283434,0.8700866089273818,-1.5342389328798223,True
60,10.0,0.09811488785839977,0.8727514990006662,-1.557729711598707,True
61,10.0,0.09205732535890573,0.8627581612258495,-1.5643419136964316,True
62,1.84,0.5105229959761197,0.703971119133574,-0.5336836114086128,False
63,10.0,0.09387154418069676,0.8854097268487675,-1.5277790300199292,True
64,10.0,0.09277054840383027,0.8634243837441705,-1.5265022758278899,True
65,10.0,0.09670458602024169,0.8554297135243171,-1.5560791499439157,True
66,10.0,0.0932937982289064,0.8760826115922719,-1.5449806592214508,True
67,10.0,0.10312342858588328,0.8694203864090606,-1.5793258364154867,True
68,10.0,0.09390668127815559,0.8974017321785477,-1.5367546282424505,True
69,5.46,0.3195048039587446,0.7963414634146342,-1.1144223924007532,False
70,10.0,0.09314026793961354,0.8554297135243171,-1.5298594780209454,True
71,10.0,0.09387011751225843,0.8834110592938041,-1.5638087085823416,True
72,10.0,0.09465445468738298,0.8740839440373085,-1.5438430234902705,True
73,10.0,0.10308760923137868,0.8820786142571619,-1.5182775452955863,True
74,10.0,0.09226922362566127,0.8627581612258495,-1.5500685715806384,True
75,10.0,0.09232362029573299,0.8927381745502998,-1.510233622204892,True
76,4.24,0.3416308819205635,0.8116169544740973,-0.9263980504903416,False
77,10.0,0.09467165237424179,0.8687541638907396,-1.5319171569069896,True
78,10.0,0.0939752975491472,0.8507661558960693,-1.5191732715627406,True
79,7.86,0.2635491264470842,0.8449152542372881,-1.4777125923810968,False
80,10.0,0.09690653578218307,0.8387741505662891,-1.5535830598886584,True
81,10.0,0.09157181425312866,0.8734177215189873,-1.5275936367294,True
82,10.0,0.09641969458278063,0.8607594936708861,-1.492430527996639,True
83,10.0,0.0908443528772926,0.8694203864090606,-1.5923533753382975,True
84,3.04,0.41662998786354855,0.7264770240700219,-0.7697475425375694,False
85,10.0,0.09046445346984214,0.8634243837441705,-1.5612559892009905,True
