episode,duration_s,velocity_rmse,retention,displacement_m,survived
0,10.0,0.00953683295420793,0.9806795469686875,-0.0005274049495461018,True
1,10.0,0.009862009464357899,0.9960026648900733,0.002611295839863563,True
2,10.0,0.010878459230504475,0.988674217188541,0.00399003348192643,True
3,10.0,0.008591094633708857,1.0,0.002923740253301042,True
4,10.0,0.008591094633708857,1.0,0.002923740253301042,True
5,10.0,0.010199226099428697,0.9813457694870087,0.002775631808330918,True
6,10.0,0.008591094633708857,1.0,0.002923740253301042,True
7,10.0,0.010878459230504475,0.988674217188541,0.00399003348192643,True
8,10.0,0.008591094633708857,1.0,0.002923740253301042,True
9,10.0,0.008591094633708857,1.0,0.002923740253301042,True
10,10.0,0.008591094633708857,1.0,0.002923740253301042,True
11,10.0,0.008591094633708857,1.0,0.002923740253301042,True
12,10.0,0.008591094633708857,1.0,0.002923740253301042,True
13,10.0,0.008591094633708857,1.0,0.002923740253301042,True
14,10.0,0.008591094633708857,1.0,0.002923740253301042,True
15,10.0,0.008591094633708857,1.0,0.002923740253301042,True
16,10.0,0.008591094633708857,1.0,0.002923740253301042,True
17,10.0,0.008591094633708857,1.0,0.002923740253301042,True
18,10.0,0.009779382979902856,1.0,0.0009332603471172519,True
19,10.0,0.008591094633708857,1.0,0.002923740253301042,True
20,10.0,0.008591094633708857,1.0,0.002923740253301042,True
21,10.0,0.008591094633708857,1.0,0.002923740253301042,True
22,10.0,0.008591094633708857,1.0,0.002923740253301042,True
23,10.0,0.008591094633708857,1.0,0.002923740253301042,True
24,10.0,0.010878459230504475,0.988674217188541,0.00399003348192643,True
25,10.0,0.01359385808361637,0.988674217188541,0.002346177576962826,True
26,10.0,0.008591094633708857,1.0,0.002923740253301042,True
27,10.0,0.009862009464357899,0.9960026648900733,0.002611295839863563,True
28,10.0,0.010878459230504475,0.988674217188541,0.00399003348192643,True
29,10.0,0.008591094633708857,1.0,0.002923740253301042,True
30,10.0,0.008591094633708857,1.0,0.002923740253301042,True
31,10.0,0.008591094633708857,1.0,0.002923740253301042,True
32,10.0,0.010878459230504475,0.988674217188541,0.00399003348192643,True
33,10.0,0.008591094633708857,1.0,0.002923740253301042,True
34,10.0,0.009779382979902856,1.0,0.0009332603471172519,True
35,10.0,0.00953683295420793,0.9806795469686875,-0.0005274049495461018,True
36,10.0,0.008591094633708857,1.0,0.002923740253301042,True
37,10.0,0.010878459230504475,0.988674217188541,0.00399003348192643,True
